date,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc
2020-7-12,2,24,45,31,8:53,25
2020-7-13,2,26,59,15,7:35,25
2020-7-14,1,22,58,20,7:1,13
2020-7-15,3,18,59,23,9:2,38
2020-7-16,2,18,64,18,7:56,25
2020-7-17,3,20,56,24,8:21,38
2020-7-18,3,23,57,20,9:44,38
2020-7-19,2,20,57,23,9:43,25
2020-7-20,1,30,44,26,7:58,13
2020-7-21,2,25,58,17,8:24,25
2020-7-22,1,22,53,25,8:25,13
2020-7-23,2,24,60,16,8:48,25
2020-7-24,3,17,17,21,9:24,38
2020-7-25,2,18,66,16,9:38,25
2020-7-26,3,19,58,23,9:4,38
2020-7-27,5,22,47,31,9:14,63
2020-7-28,3,22,55,23,9:18,38
2020-7-29,3,22,55,23,9:29,38
2020-7-30,2,20,59,21,8:16,25
2020-8-1,3,25,45,30,8:53,38
2020-8-2,4,22,63,15,10:17,50
2020-8-3,3,21,63,16,9:5,38
2020-8-4,3,19,58,23,7:48,38
2020-8-5,2,25,59,16,8:33,25
2020-8-6,2,17,57,26,9:8,25
2020-8-7,4,30,42,28,7:54,50
2020-8-8,2,23,50,27,9:21,25
2020-8-9,2,15,61,24,9:41,25
2020-8-10,2,32,43,25,8:53,25
2020-8-11,5,25,53,22,9:2,63
2020-8-13,1,20,63,17,5:36,13
2020-8-14,2,22,59,19,7:45,25
2020-8-15,2,22,61,17,10:41,25
2020-8-16,2,16,65,19,9:6,25
2020-8-17,6,14,61,25,7:50,75
2020-8-17,3,17,61,22,10:23,38
2020-8-19,4,18,56,26,7:43,50
2020-8-20,1,29,45,26,6:57,13
2020-8-21,4,18,55,27,8:44,50
2020-8-22,3,25,52,23,9:6,38
2020-8-23,2,22,56,22,8:54,25
2020-8-24,4,29,43,28,9:8,50
2020-8-26,3,26,54,20,8:19,38
2020-8-27,4,18,60,22,9:4,50
2020-8-28,2,30,41,29,6:55,25
2020-8-29,2,22,50,28,9:55,25
2020-8-30,3,35,42,23,9:19,38
2020-8-31,6,26,57,17,8:32,75
2020-9-1,3,19,58,23,9:11,38
2020-9-2,2,21,64,15,6:17,25
2020-9-4,4,15,56,29,8:4,50
2020-9-6,1,27,45,28,8:6,13
2020-9-7,3,19,59,22,8:12,38
2020-9-8,2,29,43,28,7:0,25
2020-9-9,2,19,55,26,7:23,25
2020-9-10,1,15,65,20,7:3,13
2020-9-11,3,9,56,35,8:24,38
2020-9-13,3,13,71,16,9:33,38
2020-9-14,4,19,53,28,9:16,50
2020-9-15,3,18,49,33,7:38,38
2020-9-15,3,18,49,33,7:38,38
2020-9-16,2,16,47,37,7:32,25
2020-9-17,4,17,60,23,8:53,50
2020-9-18,3,26,49,25,7:45,38
2020-9-19,2,30,41,29,10:35,25
2020-9-20,5,16,61,23,8:55,63
2020-9-21,4,15,48,37,7:50,50
2020-9-22,4,21,57,22,7:15,50
2020-9-23,2,16,69,15,8:32,25
2020-9-24,3,27,43,30,10:12,38
2020-9-25,4,20,57,23,8:53,50
2020-9-24,2,14,64,22,11:23,25
2020-9-27,2,16,58,26,9:7,25
2020-9-28,5,21,54,25,8:41,63
2020-9-29,3,23,64,13,8:15,38
2020-9-30,2,18,54,28,8:29,25
2020-10-1,3,24,60,16,7:25,38
2020-10-2,1,30,41,29,8:18,13
2020-10-3,3,33,40,27,8:31,38
2020-10-4,3,19,59,22,9:4,38
2020-10-5,4,20,69,11,7:59,50
2020-10-6,2,16,59,25,8:5,25
2020-10-7,2,18,56,26,8:22,25
2020-10-8,3,27,44,29,8:42,38
2020-10-8,3,17,63,20,9:16,38
2020-10-10,3,22,45,33,9:11,38
2020-10-12,4,17,44,39,7:57,50
2020-10-13,4,16,62,22,7:27,50
2020-10-14,4,32,41,27,8:1,50
2020-10-15,2,16,49,35,8:38,25
2020-10-16,4,16,67,17,8:16,50
2020-10-17,2,19,65,16,8:44,25
2020-10-18,2,16,61,23,9:6,25
2020-10-19,5,13,61,26,8:6,63
2020-10-20,2,20,58,22,7:51,25
2020-10-21,1,19,61,20,7:57,13
2020-10-22,3,18,62,20,7:42,38
2020-10-22,2,17,63,20,7:58,25
