bed_time,rise_time,times_woke_up,deep_sleep_perc,light_sleep_perc,rem_sleep_perc,night_sleep,times_woke_up_perc,total_steps,total_steps_perc
2020-7-12 01:30:00,2020-7-13 10:26:00,2,24,45,31,8:53:00,25,13698,136.98
2020-7-13 00:31:00,2020-7-14 08:26:00,2,26,59,15,7:35:00,25,4346,43.46
2020-7-14 00:45:00,2020-7-15 07:59:00,1,22,58,20,7:01:00,13,9917,99.17
2020-7-15 00:11:00,2020-7-16 09:38:00,3,18,59,23,9:02:00,38,3334,33.34
2020-7-16 00:35:00,2020-7-17 08:34:00,2,18,64,18,7:56:00,25,9419,94.19
2020-7-17 00:37:00,2020-7-18 09:07:00,3,20,56,24,8:21:00,38,3212,32.12
2020-7-18 01:26:00,2020-7-19 11:40:00,3,23,57,20,9:44:00,38,15819,158.19
2020-7-19 01:44:00,2020-7-20 11:45:00,2,20,57,23,9:43:00,25,7575,75.75
2020-7-20 00:29:00,2020-7-21 08:31:00,1,30,44,26,7:58:00,13,7083,70.83
2020-7-21 00:48:00,2020-7-22 09:31:00,2,25,58,17,8:24:00,25,5293,52.93
2020-7-22 00:40:00,2020-7-23 09:16:00,1,22,53,25,8:25:00,13,9445,94.45
2020-7-23 00:39:00,2020-7-24 09:43:00,2,24,60,16,8:48:00,25,5787,57.87
2020-7-24 23:50:00,2020-7-25 09:50:00,3,17,17,21,9:24:00,38,2429,24.29
2020-7-25 00:04:00,2020-7-26 02:02:00,2,18,66,16,9:38:00,25,14366,143.66
2020-7-26 01:16:00,2020-7-27 11:02:00,3,19,58,23,9:40:00,38,9631,96.31
2020-7-27 00:17:00,2020-7-28 10:00:00,5,22,47,31,9:14:00,63,2509,25.09
2020-7-28 00:14:00,2020-7-29 09:59:00,3,22,55,23,9:18:00,38,6905,69.05
2020-7-29 00:26:00,2020-7-30 10:02:00,3,22,55,23,9:29:00,38,6321,63.21
2020-7-30 00:30:00,2020-8-1 08:56:00,2,20,59,21,8:16:00,25,3781,37.81
2020-8-1 00:34:00,2020-8-2 10:01:00,3,25,45,30,8:53:00,38,3586,35.86
2020-8-2 00:23:00,2020-8-3 11:14:00,4,22,63,15,10:17:00,50,3301,33.01
2020-8-3 23:53:00,2020-8-4 09:10:00,3,21,63,16,9:50:00,38,2956,29.56
2020-8-4 00:28:00,2020-8-5 08:35:00,3,19,58,23,7:48:00,38,4059,40.59
2020-8-5 00:28:00,2020-8-6 09:14:00,2,25,59,16,8:33:00,25,3674,36.74
2020-8-6 00:25:00,2020-8-7 09:42:00,2,17,57,26,9:08:00,25,2560,25.6
2020-8-7 00:46:00,2020-8-8 09:01:00,4,30,42,28,7:54:00,50,2725,27.25
2020-8-8 01:30:00,2020-8-9 11:01:00,2,23,50,27,9:21:00,25,7741,77.41
2020-8-9 01:12:00,2020-8-10 12:03:00,2,15,61,24,9:41:00,25,3829,38.29
2020-8-10 00:00:00,2020-8-11 09:08:00,2,32,43,25,8:53:00,25,6963,69.63
2020-8-11 00:12:00,2020-8-13 09:31:00,5,25,53,22,9:02:00,63,4976,49.76
2020-8-13 23:21:00,2020-8-14 07:28:00,1,20,63,17,5:36:00,13,7819,78.19
2020-8-14 23:50:00,2020-8-15 10:55:00,2,22,59,19,7:45:00,25,7431,74.31
2020-8-15 01:15:00,2020-8-16 10:37:00,2,22,61,17,10:41:00,25,5283,52.83
2020-8-16 00:26:00,2020-8-17 08:45:00,2,16,65,19,9:06:00,25,10286,102.86
2020-8-17 23:23:00,2020-8-18 09:59:00,6,14,61,25,7:50:00,75,4736,47.36
2020-8-18 00:54:00,2020-8-19 08:58:00,3,17,61,22,10:23:00,38,6016,60.16
2020-8-19 00:32:00,2020-8-20 07:52:00,4,18,56,26,7:43:00,50,9167,91.67
2020-8-20 00:37:00,2020-8-21 09:47:00,1,29,45,26,6:57:00,13,9572,95.72
2020-8-21 01:31:00,2020-8-22 10:48:00,4,18,55,27,8:44:00,50,4488,44.88
